user,service,value,startDate,id,type
iia5SP5,hazelnut_cappuccino,1.0,1558352335511,93,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558353441159,94,INTERACTION
IQtg13hB,expresso,1.0,1558353481419,95,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558355034900,96,INTERACTION
FmxgvxmU,light_coffee,1.0,1558357686442,97,INTERACTION
CCMAqXtVdM,cortado,1.0,1558358293190,98,INTERACTION
FmxgvxmU,expresso,1.0,1558358908940,99,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359573917,100,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558359689434,101,INTERACTION
ymETMF4M4,long_coffee,1.0,1558361507430,102,INTERACTION
5pVcV5V,chocolate,1.0,1558420530723,103,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558420592287,104,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558422529790,105,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558423669432,106,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558426597081,107,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558426615315,108,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558427761120,109,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558427793030,110,INTERACTION
ymETMF4M4,decaffeinated,1.0,1558428661847,111,INTERACTION
iia5SP5,chocolate_milk,1.0,1558429356014,112,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558429494406,113,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558431618985,114,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558431660118,115,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558436939791,116,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558436965418,117,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558438767539,118,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558441760042,119,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558446218361,120,INTERACTION
ymETMF4M4,long_decaffeinated,1.0,1558456551384,121,INTERACTION
5pVcV5V,chocolate,1.0,1558506950912,122,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558507804108,123,INTERACTION
Vhpk5shpkk,expresso,1.0,1558510025788,124,INTERACTION
ymETMF4M4,capuccino,1.0,1558510825777,125,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558512513385,126,INTERACTION
IQtg13hB,expresso,1.0,1558512556523,127,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558512921849,128,INTERACTION
FmxgvxmU,cortado,1.0,1558513759718,129,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558514424104,130,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558514441916,131,INTERACTION
M8TX69h8,milk_coffee,1.0,1558514554979,132,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558515092463,133,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558516019492,134,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558516751131,135,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558523346725,136,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558523350749,137,INTERACTION
FmxgvxmU,cortado,1.0,1558524151567,138,INTERACTION
D6F0qp7s7,cortado,1.0,1558524173995,139,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558524702572,140,INTERACTION
qpzNDzybrsi,expresso,1.0,1558526078263,141,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558526083181,142,INTERACTION
IQtg13hB,expresso,1.0,1558527007428,143,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558530710848,144,INTERACTION
CCMAqXtVdM,cortado,1.0,1558531458269,145,INTERACTION
ymETMF4M4,long_decaffeinated,1.0,1558531618236,146,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558531748013,147,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558532124300,148,INTERACTION
IQtg13hB,expresso,1.0,1558534748958,149,INTERACTION
OJwzAJ33l,chocolate,1.0,1558534755364,150,INTERACTION
5pVcV5V,chocolate,1.0,1558592250179,151,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558592281125,152,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558596933611,153,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558597501998,154,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558597534725,155,INTERACTION
ymETMF4M4,capuccino,1.0,1558599326312,156,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558599503734,157,INTERACTION
IQtg13hB,expresso,1.0,1558599580390,158,INTERACTION
93xlxT,chocolate,1.0,1558600142556,159,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558601926711,160,INTERACTION
CCMAqXtVdM,cortado,1.0,1558602145795,161,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558602897382,162,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558603369737,163,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558606945240,164,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558610407411,165,INTERACTION
IQtg13hB,expresso,1.0,1558612618350,166,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558615400276,167,INTERACTION
FmxgvxmU,cortado decaffeinated,1.0,1558618385438,168,INTERACTION
ymETMF4M4,capuccino,1.0,1558619701458,169,INTERACTION
93xlxT,chocolate,1.0,1558622263128,170,INTERACTION
ymETMF4M4,long_decaffeinated,1.0,1558625353731,171,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558679955765,173,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558681496724,174,INTERACTION
IQtg13hB,expresso,1.0,1558685032322,175,INTERACTION
ymETMF4M4,long_coffee,1.0,1558685456303,176,INTERACTION
FmxgvxmU,cortado,1.0,1558685554728,177,INTERACTION
2qDLEBNv,chocolate,1.0,1558687681138,178,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558688313349,179,INTERACTION
M8TX69h8,milk_coffee,1.0,1558689516719,180,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558689528388,181,INTERACTION
FmxgvxmU,decaffeinated,1.0,1558690080997,182,INTERACTION
13zpiFiAzJ,expresso,1.0,1558690613680,183,INTERACTION
93xlxT,chocolate,1.0,1558690827568,184,INTERACTION
FmxgvxmU,expresso,1.0,1558692027377,185,INTERACTION
FmxgvxmU,expresso,1.0,1558692606395,186,INTERACTION
FmxgvxmU,expresso,1.0,1558693607459,187,INTERACTION
FmxgvxmU,expresso,1.0,1558694056507,188,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558694819087,189,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558694881761,190,INTERACTION
M8TX69h8,milk_coffee,1.0,1558697768674,191,INTERACTION
P5BAwzTfB,hazelnut_cappuccino,1.0,1558698188811,192,INTERACTION
IQtg13hB,expresso,1.0,1558699442271,193,INTERACTION
Vhpk5shpkk,expresso,1.0,1558699658188,194,INTERACTION
ymETMF4M4,capuccino,1.0,1558705470406,195,INTERACTION
jb1CjU1HF,chocolate,1.0,1558708248498,196,INTERACTION
2qDLEBNv,long_coffee,1.0,1558708426343,197,INTERACTION
ymETMF4M4,long_decaffeinated,1.0,1558713445157,198,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558765915714,199,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558858619428,200,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558867116203,201,INTERACTION
2qDLEBNv,long_coffee,1.0,1558938696028,202,INTERACTION
OJwzAJ33l,long_coffee,1.0,1558939094188,203,INTERACTION
5pVcV5V,chocolate,1.0,1558939110173,204,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558939153193,205,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558941104968,206,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558941984657,207,INTERACTION
ymETMF4M4,capuccino,1.0,1558942297483,208,INTERACTION
IQtg13hB,expresso,1.0,1558944708619,209,INTERACTION
FmxgvxmU,cortado,1.0,1558946854984,210,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558946956607,211,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558947006795,212,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558947856685,213,INTERACTION
CCMAqXtVdM,cortado,1.0,1558947865624,214,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558955041494,215,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558955047811,216,INTERACTION
FmxgvxmU,cortado,1.0,1558956911817,217,INTERACTION
D6F0qp7s7,cortado,1.0,1558957438446,218,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558957953555,219,INTERACTION
OJwzAJ33l,expresso,1.0,1558958191248,220,INTERACTION
IQtg13hB,expresso,1.0,1558958243638,221,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558959982240,222,INTERACTION
ymETMF4M4,capuccino,1.0,1558964800354,223,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558968200665,224,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558970910321,225,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559022605556,226,INTERACTION
CCMAqXtVdM,cortado,1.0,1559025164577,227,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559025646689,228,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559025706692,229,INTERACTION
d4guBrpB,cortado,1.0,1559028170244,230,INTERACTION
93xlxT,chocolate,1.0,1559030497971,231,INTERACTION
ymETMF4M4,capuccino,1.0,1559031285313,232,INTERACTION
M8TX69h8,milk_coffee,1.0,1559032774969,233,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559034157090,234,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559034231779,235,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559040012395,236,INTERACTION
