,user,service,sum
0,0WFqeFiPx3K,capuccino decaffeinated,1.0
1,0a4Qn,expresso,0.0
2,0a4Qn,long_decaffeinated,0.0
3,0a4Qn,milk_coffee kafeinagabe,0.5
4,0a4Qn,txokolate white,2.0
5,2qDLEBNv,chocolate,1.0
6,2qDLEBNv,hazelnut_cappuccino,1.0
7,2qDLEBNv,long_coffee,2.0
8,2qDLEBNv,milk_coffee,1.0
9,55reHHf,milk_coffee,1.0
10,5pVcV5V,chocolate,16.0
11,5pVcV5V,hazelnut_cappuccino,16.0
12,93xlxT,chocolate,43.0
13,93xlxT,cortado decaffeinated,13.0
14,93xlxT,expresso,1.0
15,93xlxT,hazelnut_cappuccino,2.0
16,CCMAqXtVdM,cortado,5.0
17,CkfZksM2rBrL,cortado,4.0
18,CuAgSlJwl,arabiar tea,0.0
19,CuAgSlJwl,expresso,0.0
20,CuAgSlJwl,milk_coffee,9.0
21,CuAgSlJwl,milk_coffee kafeinagabe,0.5
22,D6F0qp7s7,chocolate_milk,4.0
23,D6F0qp7s7,cortado,176.0
24,D6F0qp7s7,milk_coffee,40.0
25,FHZemZ,capuccino,20.0
26,FHZemZ,milk_coffee,4.0
27,FmxgvxmU,chocolate,1.0
28,FmxgvxmU,cortado,33.0
29,FmxgvxmU,cortado decaffeinated,1.0
30,FmxgvxmU,expresso,2.0
31,FmxgvxmU,light_coffee,1.0
32,I3RXU,milk_coffee,2.0
33,IQtg13hB,expresso,9.0
34,M8TX69h8,milk_coffee,2.0
35,OCUnH,chocolate_milk,1.0
36,OCUnH,cortado,0.0
37,OCUnH,long_decaffeinated,0.0
38,OCUnH,milk_coffee,0.0
39,OJwzAJ33l,chocolate,2.0
40,OJwzAJ33l,expresso,2.0
41,P5BAwzTfB,hazelnut_cappuccino,3.0
42,TRFKSXv,expresso,1.0
43,Vhpk5shpkk,arabiar tea,3.0
44,Vhpk5shpkk,capuccino,2.0
45,Vhpk5shpkk,capuccino decaffeinated,1.0
46,Vhpk5shpkk,decaffeinated,15.0
47,Vhpk5shpkk,expresso,4.0
48,Vhpk5shpkk,hazelnut_cappuccino,1.0
49,Yx3rQ,capuccino,1.0
50,Yx3rQ,cortado,1.5
51,Yx3rQ,decaffeinated,0.0
52,Yx3rQ,hazelnut_cappuccino,0.5
53,Yx3rQ,long_coffee,4.0
54,anH4HDH,capuccino,2.0
55,anH4HDH,expresso,2.0
56,d4guBrpB,capuccino,1.0
57,d4guBrpB,cortado,31.0
58,d4guBrpB,cortado decaffeinated,13.0
59,d4guBrpB,expresso,2.0
60,fJlBu,milk_coffee,1.0
61,gKUuuzg9,chocolate,1.0
62,gKUuuzg9,milk_coffee,3.0
63,ieuWQ,capuccino decaffeinated,1.0
64,ieuWQ,cortado,0.0
65,ieuWQ,decaffeinated,1.0
66,ieuWQ,light_coffee,0.0
67,iia5SP5,hazelnut_cappuccino,1.0
68,jb1CjU1HF,chocolate,5.0
69,jb1CjU1HF,milk_coffee,3.0
70,larri45h,long_coffee,3.0
71,oS7WZT0,milk_coffee,12.0
72,qpzNDzybrsi,expresso,18.0
73,uhDooz5uD,milk_coffee,9.0
74,ws0cho3,cortado,0.5
75,ws0cho3,expresso,1.0
76,ws0cho3,hazelnut_cappuccino,2.0
77,ws0cho3,milk_coffee,0.5
78,ymETMF4M4,capuccino,9.0
79,ymETMF4M4,long_coffee,6.0
80,ymETMF4M4,long_decaffeinated,4.0
