,user,service,sum
0,0a4Qn,arabiar tea,0.0
1,0a4Qn,capuccino,2.0
2,0a4Qn,cortado,0.5
3,0a4Qn,cortado decaffeinated,0.5
4,0a4Qn,long_coffee,0.0
5,0a4Qn,milk_coffee,3.0
6,0a4Qn,txokolate white,0.0
7,13zpiFiAzJ,expresso,4.0
8,2qDLEBNv,chocolate,4.0
9,2qDLEBNv,expresso,3.0
10,2qDLEBNv,hazelnut_cappuccino,2.0
11,2qDLEBNv,long_coffee,15.0
12,2qDLEBNv,milk_coffee,3.0
13,5pVcV5V,chocolate,39.0
14,5pVcV5V,hazelnut_cappuccino,101.0
15,5pVcV5V,milk_coffee,2.0
16,93xlxT,chocolate,45.0
17,93xlxT,cortado decaffeinated,14.0
18,CCMAqXtVdM,cortado,8.0
19,CkfZksM2rBrL,cortado,22.0
20,CuAgSlJwl,arabiar tea,0.0
21,CuAgSlJwl,cortado,28.0
22,CuAgSlJwl,expresso,1.0
23,CuAgSlJwl,milk_coffee,121.0
24,CuAgSlJwl,milk_coffee kafeinagabe,0.5
25,D6F0qp7s7,cortado,28.0
26,D6F0qp7s7,milk_coffee,38.0
27,F96Kv,hazelnut_cappuccino,0.5
28,F96Kv,long_decaffeinated,0.0
29,F96Kv,milk_coffee,2.0
30,FHZemZ,capuccino,4.0
31,FmxgvxmU,capuccino decaffeinated,1.0
32,FmxgvxmU,chocolate,1.0
33,FmxgvxmU,cortado,100.0
34,FmxgvxmU,decaffeinated,1.0
35,FmxgvxmU,expresso,6.0
36,FmxgvxmU,milk_coffee,5.0
37,I3RXU,cortado,0.0
38,I3RXU,milk_coffee,5.0
39,IQtg13hB,expresso,31.0
40,M8TX69h8,arabiar tea,2.0
41,M8TX69h8,milk_coffee,54.0
42,OCUnH,arabiar tea,0.0
43,OCUnH,capuccino,0.5
44,OCUnH,cortado,0.5
45,OCUnH,decaffeinated,0.0
46,OCUnH,expresso,4.0
47,OCUnH,hazelnut_cappuccino,0.0
48,OCUnH,light_coffee,0.0
49,OCUnH,long_coffee,0.0
50,OCUnH,milk_coffee,1.0
51,OJwzAJ33l,expresso,1.0
52,OJwzAJ33l,long_coffee,10.0
53,P5BAwzTfB,capuccino,6.0
54,P5BAwzTfB,capuccino decaffeinated,2.0
55,P5BAwzTfB,hazelnut_cappuccino,21.0
56,P5BAwzTfB,txokolate white,2.0
57,TRFKSXv,chocolate,6.0
58,TRFKSXv,expresso,1.0
59,Vhpk5shpkk,arabiar tea,5.0
60,Vhpk5shpkk,capuccino,2.0
61,Vhpk5shpkk,capuccino decaffeinated,1.0
62,Vhpk5shpkk,decaffeinated,49.0
63,Vhpk5shpkk,expresso,14.0
64,Vhpk5shpkk,hazelnut_cappuccino,1.0
65,Vhpk5shpkk,milk_coffee kafeinagabe,2.0
66,Yx3rQ,capuccino,3.0
67,Yx3rQ,chocolate,0.0
68,Yx3rQ,cortado,0.5
69,Yx3rQ,cortado decaffeinated,0.0
70,Yx3rQ,long_coffee,1.0
71,anH4HDH,capuccino,4.0
72,d4guBrpB,cortado,36.0
73,d4guBrpB,cortado decaffeinated,15.0
74,fJlBu,capuccino,2.0
75,fJlBu,cortado,0.5
76,fJlBu,txokolate white,0.0
77,fa6SQ,capuccino,3.0
78,fa6SQ,decaffeinated,0.0
79,fa6SQ,hazelnut_cappuccino,6.0
80,fa6SQ,milk_coffee,5.0
81,gKUuuzg9,chocolate,28.0
82,gKUuuzg9,light_coffee,1.0
83,gKUuuzg9,milk_coffee,123.0
84,ieuWQ,capuccino decaffeinated,1.0
85,ieuWQ,cortado,0.0
86,ieuWQ,decaffeinated,1.0
87,ieuWQ,light_coffee,0.0
88,iia5SP5,chocolate_milk,1.0
89,iia5SP5,hazelnut_cappuccino,6.0
90,jb1CjU1HF,chocolate,1.0
91,jb1CjU1HF,hazelnut_cappuccino,1.0
92,jb1CjU1HF,milk_coffee,8.0
93,oS7WZT0,milk_coffee,5.0
94,qpzNDzybrsi,expresso,16.0
95,sZfLY,expresso,1.0
96,uhDooz5uD,expresso,1.0
97,uhDooz5uD,milk_coffee,8.0
98,vRXyI,capuccino,0.0
99,vRXyI,expresso,0.5
100,vRXyI,long_coffee,3.0
101,vRXyI,milk_coffee,0.0
102,ws0cho3,decaffeinated,0.0
103,ws0cho3,expresso,1.0
104,ws0cho3,hazelnut_cappuccino,0.0
105,ws0cho3,milk_coffee,1.0
106,ymETMF4M4,capuccino,16.0
107,ymETMF4M4,decaffeinated,1.0
108,ymETMF4M4,long_coffee,2.0
