user,service,sumInteractions,nro_interactions,iri
Yx3rQ,chocolate,0.0,18.5,http://ontologies/interactioncontext#rating_28_3
Yx3rQ,cortado,3.5,18.5,http://ontologies/interactioncontext#rating_28_5
Yx3rQ,cortado decaffeinated,0.0,18.5,http://ontologies/interactioncontext#rating_28_6
Yx3rQ,decaffeinated,0.0,18.5,http://ontologies/interactioncontext#rating_28_7
Yx3rQ,hazelnut_cappuccino,1.0,18.5,http://ontologies/interactioncontext#rating_28_9
Yx3rQ,long_coffee,9.0,18.5,http://ontologies/interactioncontext#rating_28_11
anH4HDH,capuccino,2.0,4.0,http://ontologies/interactioncontext#rating_18_1
anH4HDH,expresso,2.0,4.0,http://ontologies/interactioncontext#rating_18_8
d4guBrpB,capuccino,2.0,145.0,http://ontologies/interactioncontext#rating_19_1
d4guBrpB,cortado,98.0,145.0,http://ontologies/interactioncontext#rating_19_5
d4guBrpB,cortado decaffeinated,41.0,145.0,http://ontologies/interactioncontext#rating_19_6
d4guBrpB,expresso,4.0,145.0,http://ontologies/interactioncontext#rating_19_8
fJlBu,capuccino,2.0,4.5,http://ontologies/interactioncontext#rating_31_1
fJlBu,cortado,0.5,4.5,http://ontologies/interactioncontext#rating_31_5
fJlBu,milk_coffee,2.0,4.5,http://ontologies/interactioncontext#rating_31_13
fJlBu,txokolate white,0.0,4.5,http://ontologies/interactioncontext#rating_31_15
gKUuuzg9,chocolate,30.0,160.0,http://ontologies/interactioncontext#rating_20_3
gKUuuzg9,light_coffee,1.0,160.0,http://ontologies/interactioncontext#rating_20_10
gKUuuzg9,milk_coffee,129.0,160.0,http://ontologies/interactioncontext#rating_20_13
ieuWQ,capuccino decaffeinated,1.0,2.0,http://ontologies/interactioncontext#rating_38_2
ieuWQ,cortado,0.0,2.0,http://ontologies/interactioncontext#rating_38_5
ieuWQ,decaffeinated,1.0,2.0,http://ontologies/interactioncontext#rating_38_7
ieuWQ,light_coffee,0.0,2.0,http://ontologies/interactioncontext#rating_38_10
iia5SP5,hazelnut_cappuccino,1.0,1.0,http://ontologies/interactioncontext#rating_21_9
jb1CjU1HF,chocolate,5.0,8.0,http://ontologies/interactioncontext#rating_22_3
jb1CjU1HF,milk_coffee,3.0,8.0,http://ontologies/interactioncontext#rating_22_13
larri45h,long_coffee,3.0,3.0,http://ontologies/interactioncontext#rating_35_11
oS7WZT0,milk_coffee,29.0,29.0,http://ontologies/interactioncontext#rating_23_13
qpzNDzybrsi,expresso,1.0,1.0,http://ontologies/interactioncontext#rating_24_8
sZfLY,expresso,1.0,1.0,http://ontologies/interactioncontext#rating_41_8
uhDooz5uD,expresso,1.0,27.0,http://ontologies/interactioncontext#rating_25_8
uhDooz5uD,milk_coffee,26.0,27.0,http://ontologies/interactioncontext#rating_25_13
vRXyI,capuccino,0.0,3.5,http://ontologies/interactioncontext#rating_40_1
vRXyI,expresso,0.5,3.5,http://ontologies/interactioncontext#rating_40_8
vRXyI,long_coffee,3.0,3.5,http://ontologies/interactioncontext#rating_40_11
vRXyI,milk_coffee,0.0,3.5,http://ontologies/interactioncontext#rating_40_13
ws0cho3,cortado,1.0,10.0,http://ontologies/interactioncontext#rating_34_5
ws0cho3,decaffeinated,0.0,10.0,http://ontologies/interactioncontext#rating_34_7
ws0cho3,expresso,3.0,10.0,http://ontologies/interactioncontext#rating_34_8
ws0cho3,hazelnut_cappuccino,4.0,10.0,http://ontologies/interactioncontext#rating_34_9
ws0cho3,milk_coffee,2.0,10.0,http://ontologies/interactioncontext#rating_34_13
ymETMF4M4,capuccino,34.0,57.0,http://ontologies/interactioncontext#rating_26_1
ymETMF4M4,decaffeinated,1.0,57.0,http://ontologies/interactioncontext#rating_26_7
ymETMF4M4,long_coffee,14.0,57.0,http://ontologies/interactioncontext#rating_26_11
ymETMF4M4,long_decaffeinated,8.0,57.0,http://ontologies/interactioncontext#rating_26_12
