user,service,sumInteractions,nro_interactions,iri
0WFqeFiPx3K,capuccino decaffeinated,1.0,1.0,http://ontologies/interactioncontext#rating_0_2
0a4Qn,arabiar tea,0.0,14.5,http://ontologies/interactioncontext#rating_27_0
0a4Qn,capuccino,4.0,14.5,http://ontologies/interactioncontext#rating_27_1
0a4Qn,cortado,1.0,14.5,http://ontologies/interactioncontext#rating_27_5
0a4Qn,cortado decaffeinated,1.0,14.5,http://ontologies/interactioncontext#rating_27_6
0a4Qn,expresso,0.0,14.5,http://ontologies/interactioncontext#rating_27_8
0a4Qn,long_coffee,0.0,14.5,http://ontologies/interactioncontext#rating_27_11
0a4Qn,long_decaffeinated,0.0,14.5,http://ontologies/interactioncontext#rating_27_12
0a4Qn,milk_coffee,6.0,14.5,http://ontologies/interactioncontext#rating_27_13
0a4Qn,milk_coffee kafeinagabe,0.5,14.5,http://ontologies/interactioncontext#rating_27_14
0a4Qn,txokolate white,2.0,14.5,http://ontologies/interactioncontext#rating_27_15
13zpiFiAzJ,expresso,2.0,2.0,http://ontologies/interactioncontext#rating_1_8
2qDLEBNv,chocolate,4.0,27.0,http://ontologies/interactioncontext#rating_2_3
2qDLEBNv,expresso,3.0,27.0,http://ontologies/interactioncontext#rating_2_8
2qDLEBNv,hazelnut_cappuccino,2.0,27.0,http://ontologies/interactioncontext#rating_2_9
2qDLEBNv,long_coffee,15.0,27.0,http://ontologies/interactioncontext#rating_2_11
2qDLEBNv,milk_coffee,3.0,27.0,http://ontologies/interactioncontext#rating_2_13
5pVcV5V,chocolate,39.0,142.0,http://ontologies/interactioncontext#rating_4_3
5pVcV5V,hazelnut_cappuccino,101.0,142.0,http://ontologies/interactioncontext#rating_4_9
5pVcV5V,milk_coffee,2.0,142.0,http://ontologies/interactioncontext#rating_4_13
93xlxT,chocolate,133.0,177.0,http://ontologies/interactioncontext#rating_5_3
93xlxT,cortado decaffeinated,41.0,177.0,http://ontologies/interactioncontext#rating_5_6
93xlxT,expresso,1.0,177.0,http://ontologies/interactioncontext#rating_5_8
93xlxT,hazelnut_cappuccino,2.0,177.0,http://ontologies/interactioncontext#rating_5_9
CCMAqXtVdM,cortado,8.0,8.0,http://ontologies/interactioncontext#rating_6_5
CkfZksM2rBrL,cortado,9.0,9.0,http://ontologies/interactioncontext#rating_7_5
CuAgSlJwl,cortado,56.0,306.0,http://ontologies/interactioncontext#rating_8_5
CuAgSlJwl,expresso,2.0,306.0,http://ontologies/interactioncontext#rating_8_8
CuAgSlJwl,milk_coffee,248.0,306.0,http://ontologies/interactioncontext#rating_8_13
D6F0qp7s7,cortado,28.0,66.0,http://ontologies/interactioncontext#rating_9_5
D6F0qp7s7,milk_coffee,38.0,66.0,http://ontologies/interactioncontext#rating_9_13
F96Kv,hazelnut_cappuccino,1.0,5.0,http://ontologies/interactioncontext#rating_37_9
F96Kv,long_decaffeinated,0.0,5.0,http://ontologies/interactioncontext#rating_37_12
F96Kv,milk_coffee,4.0,5.0,http://ontologies/interactioncontext#rating_37_13
FHZemZ,capuccino,4.0,4.0,http://ontologies/interactioncontext#rating_10_1
FmxgvxmU,capuccino decaffeinated,2.0,266.0,http://ontologies/interactioncontext#rating_11_2
FmxgvxmU,chocolate,3.0,266.0,http://ontologies/interactioncontext#rating_11_3
FmxgvxmU,cortado,233.0,266.0,http://ontologies/interactioncontext#rating_11_5
FmxgvxmU,cortado decaffeinated,1.0,266.0,http://ontologies/interactioncontext#rating_11_6
FmxgvxmU,decaffeinated,2.0,266.0,http://ontologies/interactioncontext#rating_11_7
FmxgvxmU,expresso,14.0,266.0,http://ontologies/interactioncontext#rating_11_8
FmxgvxmU,light_coffee,1.0,266.0,http://ontologies/interactioncontext#rating_11_10
FmxgvxmU,milk_coffee,10.0,266.0,http://ontologies/interactioncontext#rating_11_13
I3RXU,cortado,0.0,12.0,http://ontologies/interactioncontext#rating_30_5
