user,service,value,s,task
dbarrenetxea,grinding-power-stats,1,1696601954,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696927289,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696947802,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697440392,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697533040,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697811041,indicators-selection
dbarrenetxea,grinding-power-stats,1,1698751430,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699883345,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699887765,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699907890,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699945049,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699955808,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695712669,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695715725,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695730449,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1696269078,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1696315412,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1699955808,indicators-selection
dbarrenetxea,grinding-stiffness,1,1695730449,indicators-selection
dbarrenetxea,grinding-stiffness,1,1696315412,indicators-selection
dbarrenetxea,LG1000 - 100672 IDK,1,1695326615,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1695715725,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1695730449,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1696835328,machine_selection
dbarrenetxea,TDOMONWH2X1,0.5,1695326615,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695712669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695719808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695730449,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695974644,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696235962,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696252132,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696269078,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696315412,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696396209,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696399219,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696409190,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696417669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696432557,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696439221,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696492466,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696495346,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696515594,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696574567,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696584197,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696588683,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696601954,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696833946,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696835328,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696853613,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696927289,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696947802,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697440392,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697533040,schema_monitoring
