user,service,value,s
dbarrenetxea,TDOMONWH2X1,0.5,1695719808
dbarrenetxea,TDOMONWH2X1,0.5,1695730449
dbarrenetxea,TDOMONWH2X1,0.5,1695974644
dbarrenetxea,TDOMONWH2X1,0.5,1696235962
dbarrenetxea,TDOMONWH2X1,0.5,1696252132
dbarrenetxea,TDOMONWH2X1,0.5,1696269078
dbarrenetxea,TDOMONWH2X1,0.5,1696315412
dbarrenetxea,TDOMONWH2X1,0.5,1696396209
dbarrenetxea,TDOMONWH2X1,0.5,1696399219
dbarrenetxea,TDOMONWH2X1,0.5,1696409190
dbarrenetxea,TDOMONWH2X1,0.5,1696417669
dbarrenetxea,TDOMONWH2X1,0.5,1696432557
dbarrenetxea,TDOMONWH2X1,0.5,1696439221
dbarrenetxea,TDOMONWH2X1,0.5,1696492466
dbarrenetxea,TDOMONWH2X1,0.5,1696495346
dbarrenetxea,TDOMONWH2X1,0.5,1696515594
dbarrenetxea,TDOMONWH2X1,0.5,1696574567
dbarrenetxea,TDOMONWH2X1,0.5,1696584197
dbarrenetxea,TDOMONWH2X1,0.5,1696588683
dbarrenetxea,TDOMONWH2X1,0.5,1696601954
dbarrenetxea,TDOMONWH2X1,0.5,1696833946
dbarrenetxea,TDOMONWH2X1,0.5,1696835328
dbarrenetxea,TDOMONWH2X1,0.5,1696853613
dbarrenetxea,TDOMONWH2X1,0.5,1696927289
dbarrenetxea,TDOMONWH2X1,0.5,1696947802
dbarrenetxea,TDOMONWH2X1,0.5,1697440392
dbarrenetxea,TDOMONWH2X1,0.5,1697533040
dbarrenetxea,TDOMONWH2X1,0.5,1697792878
dbarrenetxea,TDOMONWH2X1,0.5,1697811041
dbarrenetxea,TDOMONWH2X1,0.5,1697822875
dbarrenetxea,TDOMONWH2X1,0.5,1698220506
dbarrenetxea,TDOMONWH2X1,0.5,1698751430
dbarrenetxea,TDOMONWH2X1,0.5,1699883345
dbarrenetxea,TDOMONWH2X1,0.5,1699887765
dbarrenetxea,TDOMONWH2X1,0.5,1699907890
dbarrenetxea,TDOMONWH2X1,0.5,1699945049
dbarrenetxea,TDOMONWH2X1,0.5,1699955808
dbarrenetxea,TDOMONWH2X1,1,1695326615
dbarrenetxea,TDOMONWH2X1,1,1695712669
dbarrenetxea,TDOMONWH2X1,1,1695715725
dbarrenetxea,TDOMONWH2X1,1,1695719808
dbarrenetxea,TDOMONWH2X1,1,1695730449
dbarrenetxea,TDOMONWH2X1,1,1695974644
dbarrenetxea,TDOMONWH2X1,1,1696235962
dbarrenetxea,TDOMONWH2X1,1,1696252132
dbarrenetxea,TDOMONWH2X1,1,1696269078
dbarrenetxea,TDOMONWH2X1,1,1696315412
dbarrenetxea,TDOMONWH2X1,1,1696396209
dbarrenetxea,TDOMONWH2X1,1,1696399219
dbarrenetxea,TDOMONWH2X1,1,1696409190
dbarrenetxea,TDOMONWH2X1,1,1696417669
dbarrenetxea,TDOMONWH2X1,1,1696432557
dbarrenetxea,TDOMONWH2X1,1,1696439221
dbarrenetxea,TDOMONWH2X1,1,1696492466
dbarrenetxea,TDOMONWH2X1,1,1696495346
dbarrenetxea,TDOMONWH2X1,1,1696515594
dbarrenetxea,TDOMONWH2X1,1,1696574567
dbarrenetxea,TDOMONWH2X1,1,1696584197
dbarrenetxea,TDOMONWH2X1,1,1696588683
dbarrenetxea,TDOMONWH2X1,1,1696601954
dbarrenetxea,TDOMONWH2X1,1,1696833946
dbarrenetxea,TDOMONWH2X1,1,1696835328
dbarrenetxea,TDOMONWH2X1,1,1696853613
dbarrenetxea,TDOMONWH2X1,1,1696927289
dbarrenetxea,TDOMONWH2X1,1,1696947802
dbarrenetxea,TDOMONWH2X1,1,1697440392
dbarrenetxea,TDOMONWH2X1,1,1697533040
dbarrenetxea,TDOMONWH2X1,1,1697792878
dbarrenetxea,TDOMONWH2X1,1,1697811041
dbarrenetxea,TDOMONWH2X1,1,1697822875
dbarrenetxea,TDOMONWH2X1,1,1698220506
dbarrenetxea,TDOMONWH2X1,1,1698751430
dbarrenetxea,TDOMONWH2X1,1,1699883345
dbarrenetxea,TDOMONWH2X1,1,1699887765
dbarrenetxea,TDOMONWH2X1,1,1699907890
dbarrenetxea,TDOMONWH2X1,1,1699945049
dbarrenetxea,TDOMONWH2X1,1,1699955808
dbarrenetxea,TDOMONWH2X1Z1,0.5,1695715725
dbarrenetxea,TDOMONWH2X1Z1,1,1695715725
dbarrenetxea,Wheelhead2Power,1,1695326615
dbarrenetxea,Wheelhead2Power,1,1695712669
dbarrenetxea,Wheelhead2Power,1,1695715725
dbarrenetxea,Wheelhead2Power,1,1695730449
dbarrenetxea,Wheelhead2Power,1,1696252132
dbarrenetxea,Wheelhead2Power,1,1696269078
dbarrenetxea,Wheelhead2Power,1,1696315412
dbarrenetxea,Wheelhead2Power,1,1696396209
dbarrenetxea,Wheelhead2Power,1,1696399219
dbarrenetxea,Wheelhead2Power,1,1696409190
dbarrenetxea,Wheelhead2Power,1,1696492466
dbarrenetxea,Wheelhead2Power,1,1696495346
dbarrenetxea,Wheelhead2Power,1,1696515594
dbarrenetxea,Wheelhead2Power,1,1696584197
dbarrenetxea,Wheelhead2Power,1,1696588683
dbarrenetxea,Wheelhead2Power,1,1696601954
dbarrenetxea,Wheelhead2Power,1,1696833946
dbarrenetxea,Wheelhead2Power,1,1696927289
dbarrenetxea,Wheelhead2Power,1,1696947802
dbarrenetxea,Wheelhead2Power,1,1697440392
dbarrenetxea,Wheelhead2Power,1,1697533040
dbarrenetxea,Wheelhead2Power,1,1697811041
dbarrenetxea,Wheelhead2Power,1,1697822875
dbarrenetxea,Wheelhead2Power,1,1698220506
dbarrenetxea,Wheelhead2Power,1,1698751430
dbarrenetxea,Wheelhead2Power,1,1699887765
dbarrenetxea,Wheelhead2Speed_actual,1,1695326615
dbarrenetxea,Wheelhead2Speed_actual,1,1696315412
